user_id,join_date,gender,location,age
USR00146,2022-04-06,Female,Bandung,41
USR00147,2023-04-30,nan,Bandung,32
USR00148,2023-02-11,Male,Medan,19
USR00149,2022-08-19,Female,Bandung,59
USR00150,2023-10-17,nan,Jakarta,58
USR00151,2022-06-20,Female,Surabaya,53
USR00152,2023-06-25,Male,Surabaya,18
USR00153,2022-02-05,Female,Medan,56
USR00154,2023-06-09,Male,Bandung,32
USR00155,2022-06-09,Male,Surabaya,62
USR00156,2023-11-30,Male,Bandung,23
USR00157,2022-08-31,Male,Medan,43
USR00158,2022-03-27,Female,Bandung,44
USR00159,2023-08-01,Male,Medan,19
USR00160,2023-11-13,Female,Makassar,30
USR00161,2023-07-11,Male,Surabaya,39
USR00162,2023-07-28,Male,Medan,45
USR00163,2023-10-08,Male,Medan,40
USR00164,2022-01-28,Male,Medan,41
USR00165,2023-09-12,Male,Medan,41
USR00166,2023-07-10,Female,Medan,52
USR00167,2022-12-06,nan,Medan,44
USR00168,2022-11-27,Male,Bandung,54
USR00169,2023-10-02,Male,Yogyakarta,27
USR00170,2023-05-21,Male,Jakarta,46
USR00171,2022-12-14,Female,Medan,43
USR00172,2023-04-18,Female,Jakarta,50
USR00173,2022-08-19,Female,Makassar,55
USR00174,2022-07-09,Male,Yogyakarta,46
USR00175,2022-08-13,Male,Makassar,25
USR00176,2023-01-20,Male,Surabaya,54
USR00177,2023-01-12,Female,Medan,58
USR00178,2022-10-10,Male,Yogyakarta,43
USR00179,2023-09-25,Female,Surabaya,48
USR00180,2023-09-20,Female,Surabaya,34
USR00181,2022-09-16,Female,Surabaya,29
USR00182,2022-12-25,Male,Surabaya,37
USR00183,2023-12-11,Female,Bandung,48
USR00184,2023-04-01,Male,Medan,42
USR00185,2023-02-15,nan,Bandung,41
USR00186,2023-10-11,Male,Surabaya,60
USR00187,2022-11-14,Male,Medan,36
USR00188,2023-11-08,Male,Makassar,22
USR00189,2022-08-13,Female,Bandung,43
USR00190,2022-08-22,Male,Makassar,33
USR00191,2023-11-15,Female,Medan,62
USR00192,2023-10-26,Male,Yogyakarta,46
USR00193,2023-01-09,Male,Surabaya,15
USR00194,2023-11-03,Female,Medan,17
USR00195,2023-08-31,Male,Surabaya,40
USR00196,2023-04-17,Female,Makassar,64
USR00197,2022-08-21,Female,Medan,21
USR00198,2023-11-23,Female,Medan,40
USR00199,2022-04-23,Male,Medan,41
USR00200,2023-05-12,Female,Bandung,33
USR00201,2023-03-18,nan,Jakarta,18
USR00202,2023-07-18,Female,Yogyakarta,58
USR00203,2022-09-25,Male,Bandung,41
USR00204,2023-05-25,Female,Makassar,51
USR00205,2023-01-21,nan,Surabaya,28
USR00206,2023-01-22,Male,Makassar,22
USR00207,2022-04-23,Female,Medan,15
USR00208,2023-09-05,Female,Jakarta,22
USR00209,2023-09-17,Male,Medan,52
USR00210,2022-03-22,Male,Bandung,43
USR00211,2023-11-30,Male,Surabaya,48
USR00212,2022-04-23,Male,Yogyakarta,21
USR00213,2022-01-02,Female,Makassar,19
USR00214,2023-10-04,Female,Bandung,34
USR00215,2022-08-08,Female,Jakarta,36
USR00216,2023-07-20,Female,Bandung,18
USR00217,2022-08-13,Male,Bandung,15
USR00218,2023-01-20,Male,Jakarta,46
USR00219,2023-02-07,nan,Makassar,56
USR00220,2023-09-30,Female,Surabaya,33
USR00221,2022-05-10,Female,Bandung,55
USR00222,2022-02-22,nan,Medan,37
USR00223,2023-11-15,Male,Makassar,32
USR00224,2023-12-31,Female,Makassar,20
USR00225,2023-11-03,Female,Yogyakarta,29
USR00226,2023-12-11,Male,Yogyakarta,26
USR00227,2023-02-20,Male,Jakarta,43
USR00228,2022-09-04,nan,Makassar,60
USR00229,2023-03-15,Male,Yogyakarta,38
USR00230,2022-07-22,Male,Medan,27
USR00231,2022-07-03,Female,Makassar,53
USR00232,2022-05-03,Female,Surabaya,44
USR00233,2023-02-05,Female,Jakarta,23
USR00234,2022-10-21,nan,Medan,16
USR00235,2022-10-07,nan,Surabaya,24
USR00236,2023-09-02,nan,Jakarta,25
USR00237,2022-07-17,Male,Jakarta,28
USR00238,2023-05-26,Female,Surabaya,21
USR00239,2022-05-24,Male,Makassar,38
USR00240,2023-09-01,Male,Medan,20
USR00241,2022-07-20,Female,Medan,22
USR00242,2022-05-04,Male,Bandung,55
USR00243,2022-07-06,nan,Bandung,39
USR00244,2022-11-22,Male,Jakarta,64
USR00245,2023-04-09,Female,Bandung,19
USR00246,2022-12-15,Male,Medan,39
USR00247,2023-10-22,Male,Medan,63
USR00248,2023-02-07,Female,Bandung,18
USR00249,2022-12-12,Male,Bandung,17
USR00250,2023-05-26,Female,Yogyakarta,21
USR00251,2022-05-27,nan,Yogyakarta,57
USR00252,2022-05-28,Female,Jakarta,58
USR00253,2023-12-12,Male,Medan,36
USR00254,2023-05-04,Male,Yogyakarta,38
USR00255,2023-10-02,Male,Makassar,32
USR00256,2023-07-05,Female,Medan,31
USR00257,2022-12-04,Female,Jakarta,22
USR00258,2023-10-03,Male,Surabaya,29
USR00259,2023-04-18,Female,Yogyakarta,46
USR00260,2022-05-31,Male,Bandung,56
USR00261,2023-02-19,Female,Surabaya,56
USR00262,2022-10-25,Female,Bandung,54
USR00263,2023-09-03,Male,Bandung,22
USR00264,2022-09-20,Female,Makassar,42
USR00265,2022-05-24,Female,Makassar,35
USR00266,2022-12-12,Female,Bandung,57
USR00267,2023-09-16,Female,Medan,18
USR00268,2023-07-26,nan,Jakarta,49
USR00269,2022-01-02,Female,Jakarta,59
USR00270,2022-10-31,Male,Bandung,19
USR00271,2022-09-11,Male,Jakarta,34
USR00272,2023-10-14,Male,Jakarta,23
USR00273,2023-03-29,Male,Medan,61
USR00274,2022-02-06,nan,Yogyakarta,24
USR00275,2022-06-09,Male,Medan,44
USR00276,2022-01-09,Female,Bandung,60
USR00277,2022-08-21,Male,Yogyakarta,16
USR00278,2022-04-09,Male,Jakarta,63
USR00279,2023-10-21,nan,Bandung,15
USR00280,2022-07-27,Male,Medan,27
USR00281,2022-05-11,Female,Jakarta,38
USR00282,2023-02-08,nan,Medan,32
USR00283,2022-06-01,nan,Surabaya,57
USR00284,2022-02-23,Female,Yogyakarta,47
USR00285,2022-04-30,Female,Jakarta,19
USR00286,2023-11-04,Female,Surabaya,51
USR00287,2023-09-20,Male,Surabaya,16
USR00288,2023-08-10,Female,Medan,52
USR00289,2023-09-17,nan,Medan,49
USR00290,2023-02-24,Female,Makassar,31
USR00291,2023-02-26,Male,Yogyakarta,47
USR00292,2022-04-14,Female,Jakarta,23
USR00293,2022-09-11,Female,Yogyakarta,45
USR00294,2022-08-15,Male,Makassar,21
USR00295,2022-04-22,Female,Yogyakarta,30
USR00296,2023-05-25,Female,Bandung,44
USR00297,2023-04-18,Female,Bandung,22
USR00298,2022-04-09,Male,Yogyakarta,61
USR00299,2022-06-02,Male,Medan,38
USR00300,2022-12-04,Female,Bandung,29
USR00301,2023-12-07,Female,Surabaya,27
USR00302,2022-06-12,Male,Yogyakarta,29
USR00303,2023-12-21,Male,Bandung,49
USR00304,2023-11-12,Male,Makassar,57
USR00305,2022-06-10,Female,Jakarta,24
USR00306,2023-08-03,nan,Medan,17
USR00307,2023-02-02,Female,Jakarta,47
USR00308,2022-10-04,Female,Medan,42
USR00309,2023-05-19,Female,Yogyakarta,41
USR00310,2023-01-27,Female,Bandung,35
USR00311,2022-05-15,Male,Bandung,29
USR00312,2022-07-14,Female,Medan,22
USR00313,2023-02-05,Male,Jakarta,21
USR00314,2023-10-02,Female,Surabaya,44
USR00315,2022-02-02,Male,Medan,33
USR00316,2023-11-19,Male,Yogyakarta,28
USR00317,2023-04-05,Male,Surabaya,44
USR00318,2023-04-15,Female,Makassar,30
USR00319,2023-01-10,Male,Medan,38
USR00320,2022-01-22,Male,Medan,33
USR00321,2023-11-01,nan,Surabaya,33
USR00322,2022-02-07,Female,Yogyakarta,34
USR00323,2022-08-18,Male,Surabaya,26
USR00324,2022-12-31,Male,Yogyakarta,60
USR00325,2023-07-17,Male,Bandung,42
USR00326,2023-03-14,Female,Jakarta,64
USR00327,2022-10-10,Female,Yogyakarta,53
USR00328,2022-01-27,Male,Bandung,33
USR00329,2022-08-14,Female,Bandung,27
USR00330,2022-10-04,Male,Surabaya,38
USR00331,2023-09-01,Male,Yogyakarta,50
USR00332,2022-10-11,nan,Medan,48
USR00333,2023-04-26,Male,Medan,38
USR00334,2023-03-29,Female,Surabaya,41
USR00335,2023-10-21,Female,Medan,63
USR00336,2023-05-31,Male,Yogyakarta,56
USR00337,2023-07-01,Female,Jakarta,33
USR00338,2022-07-11,Female,Makassar,37
USR00339,2022-02-18,nan,Yogyakarta,55
USR00340,2023-05-27,Male,Medan,53
USR00341,2022-01-17,Male,Medan,43
USR00342,2022-06-21,Male,Bandung,54
USR00343,2022-08-08,Female,Yogyakarta,51
USR00344,2022-06-07,Male,Surabaya,34
USR00345,2023-04-22,Male,Yogyakarta,40
USR00346,2022-02-15,nan,Medan,29
USR00347,2023-01-08,Male,Yogyakarta,26
USR00348,2023-06-02,Male,Surabaya,31
USR00349,2022-04-09,Female,Bandung,19
USR00350,2022-02-06,Female,Jakarta,58
USR00351,2022-10-07,Male,Makassar,39
USR00352,2022-12-15,Male,Yogyakarta,55
USR00353,2023-05-12,Male,Jakarta,26
USR00354,2022-10-29,Male,Makassar,53
USR00355,2022-06-30,Female,Jakarta,17
USR00356,2023-08-30,Female,Yogyakarta,49
USR00357,2022-04-09,Female,Makassar,37
USR00358,2023-12-01,Female,Jakarta,29
USR00359,2022-04-26,Female,Surabaya,61
USR00360,2022-07-10,Female,Makassar,32
USR00361,2022-09-10,nan,Surabaya,16
USR00362,2022-06-10,Female,Bandung,39
USR00363,2022-09-13,Female,Yogyakarta,64
USR00364,2022-11-19,Male,Medan,54
USR00365,2022-05-08,Male,Bandung,19
USR00366,2022-01-18,Female,Bandung,29
USR00367,2023-07-20,Male,Makassar,59
USR00368,2023-07-24,Female,Makassar,40
USR00369,2022-11-19,Female,Bandung,63
USR00370,2023-11-17,Female,Jakarta,37
USR00371,2023-09-18,Female,Medan,17
USR00372,2022-10-15,Male,Yogyakarta,63
USR00373,2023-10-25,Male,Surabaya,32
USR00374,2023-10-01,nan,Surabaya,22
USR00375,2022-06-04,Male,Jakarta,47
USR00376,2023-05-05,Female,Medan,58
USR00377,2023-01-21,Male,Jakarta,64
USR00378,2022-04-14,Male,Surabaya,45
USR00379,2023-01-28,Male,Jakarta,16
USR00380,2022-09-03,Female,Makassar,63
USR00381,2022-06-25,Male,Surabaya,33
USR00382,2022-02-08,Male,Makassar,16
USR00383,2023-04-22,Male,Yogyakarta,54
USR00384,2023-11-13,Male,Yogyakarta,18
USR00385,2023-06-22,Male,Yogyakarta,30
USR00386,2023-02-12,Male,Medan,53
USR00387,2023-06-09,Female,Makassar,54
USR00388,2023-05-21,Male,Jakarta,50
USR00389,2022-02-05,Male,Yogyakarta,26
USR00390,2023-11-16,nan,Medan,51
USR00391,2022-01-20,Male,Bandung,29
USR00392,2022-11-17,nan,Yogyakarta,41
USR00393,2023-05-27,Male,Medan,19
USR00394,2023-02-04,Male,Yogyakarta,61
USR00395,2023-10-16,Male,Bandung,23
USR00396,2023-04-16,Female,Bandung,37
USR00397,2022-05-23,Female,Yogyakarta,37
USR00398,2022-04-02,Male,Medan,21
USR00399,2022-12-20,Female,Bandung,64
USR00400,2023-12-28,Female,Makassar,32
USR00401,2022-02-20,Male,Yogyakarta,33
USR00402,2023-10-27,Female,Makassar,44
USR00403,2023-11-29,Female,Medan,60
USR00404,2023-07-29,Male,Bandung,60
USR00405,2022-07-09,Male,Jakarta,33
USR00406,2022-05-05,Female,Medan,35
USR00407,2022-05-30,nan,Bandung,23
USR00408,2022-11-10,Male,Yogyakarta,56
USR00409,2023-07-24,nan,Bandung,45
USR00410,2022-12-08,Male,Yogyakarta,19
USR00411,2022-11-01,nan,Bandung,44
USR00412,2023-11-23,Female,Jakarta,41
USR00413,2023-11-13,Female,Makassar,35
USR00414,2022-02-23,Female,Surabaya,43
USR00415,2023-03-20,Male,Yogyakarta,49
USR00416,2023-09-05,Male,Jakarta,47
USR00417,2022-09-21,Female,Surabaya,31
USR00418,2022-02-22,Male,Yogyakarta,49
USR00419,2023-07-26,Female,Makassar,55
USR00420,2023-09-12,nan,Bandung,31
USR00421,2022-01-05,Male,Surabaya,25
USR00422,2022-04-13,Female,Surabaya,53
USR00423,2022-07-15,Male,Yogyakarta,62
USR00424,2022-12-16,Female,Jakarta,45
USR00425,2022-02-16,Male,Makassar,59
USR00426,2023-10-18,Male,Medan,45
USR00427,2022-09-26,Female,Yogyakarta,21
USR00428,2023-01-05,Female,Surabaya,43
USR00429,2023-09-28,Female,Jakarta,56
USR00430,2022-04-16,Female,Bandung,52
USR00431,2023-11-01,Female,Makassar,34
USR00432,2023-10-21,Female,Bandung,57
USR00433,2023-10-19,Male,Bandung,17
USR00434,2022-04-30,Male,Medan,57
USR00435,2023-08-27,Male,Surabaya,64
USR00436,2022-02-27,Male,Medan,23
USR00437,2022-12-12,Male,Jakarta,47
USR00438,2023-04-19,Male,Medan,49
USR00439,2022-04-27,Female,Jakarta,40
USR00440,2022-05-07,Male,Surabaya,60
USR00441,2023-01-28,Female,Surabaya,17
USR00442,2023-10-03,Female,Medan,37
USR00443,2022-02-27,nan,Bandung,55
USR00444,2023-09-26,Male,Medan,57
USR00445,2023-05-28,Female,Makassar,35
USR00446,2022-04-06,Female,Surabaya,59
USR00447,2023-09-30,nan,Makassar,57
USR00448,2022-04-28,Male,Makassar,49
USR00449,2023-07-14,Male,Makassar,48
USR00450,2023-08-24,Male,Bandung,35
USR00451,2023-05-03,Male,Yogyakarta,50
USR00452,2022-08-25,Female,Surabaya,17
USR00453,2022-09-29,Female,Surabaya,20
USR00454,2022-07-08,Male,Yogyakarta,50
USR00455,2023-12-05,Male,Surabaya,57
USR00456,2023-03-23,Male,Yogyakarta,52
USR00457,2023-08-04,Male,Yogyakarta,60
USR00458,2022-09-04,nan,Medan,59
USR00459,2022-03-17,Female,Jakarta,48
USR00460,2022-06-03,Male,Surabaya,20
USR00461,2023-10-18,Male,Bandung,57
USR00462,2023-03-11,nan,Bandung,61
USR00463,2022-03-27,Male,Jakarta,17
USR00464,2023-11-28,Female,Medan,17
USR00465,2022-10-12,nan,Bandung,50
USR00466,2022-08-08,Female,Jakarta,33
USR00467,2022-03-10,Male,Bandung,30
USR00468,2022-02-16,Male,Jakarta,24
USR00469,2022-04-04,nan,Bandung,47
USR00470,2023-03-29,Male,Medan,15
USR00471,2022-07-23,Male,Medan,22
USR00472,2022-08-06,Female,Yogyakarta,43
USR00473,2023-04-19,Female,Bandung,58
USR00474,2023-03-08,Female,Yogyakarta,48
USR00475,2022-12-07,Male,Yogyakarta,51
USR00476,2023-07-05,Female,Bandung,25
USR00477,2023-09-04,Male,Makassar,25
USR00478,2022-10-16,Male,Surabaya,54
USR00479,2022-09-11,Female,Medan,64
USR00480,2022-12-23,Male,Bandung,37
USR00481,2022-01-23,Male,Yogyakarta,50
USR00482,2023-06-06,Male,Surabaya,59
USR00483,2022-04-10,Female,Bandung,50
USR00484,2022-06-29,Female,Surabaya,46
USR00485,2022-08-11,Female,Surabaya,61
USR00486,2023-10-21,Female,Medan,23
USR00487,2023-03-18,Female,Makassar,50
USR00488,2023-08-31,Female,Jakarta,43
USR00489,2022-11-21,Male,Bandung,52
USR00490,2023-05-31,Male,Surabaya,25
USR00491,2022-01-16,Female,Makassar,50
USR00492,2022-12-02,Male,Surabaya,18
USR00493,2022-09-15,Male,Bandung,48
USR00494,2023-05-12,Male,Jakarta,57
USR00495,2022-06-09,Female,Medan,16
USR00496,2023-04-20,Female,Jakarta,35
USR00497,2023-10-26,Female,Medan,40
USR00498,2023-11-21,Female,Surabaya,24
USR00499,2023-11-06,nan,Makassar,25
USR00500,2023-01-15,Male,Medan,15
USR00501,2023-06-29,Female,Surabaya,40
USR00502,2023-11-22,Male,Yogyakarta,28
USR00503,2023-03-03,Male,Bandung,35
USR00504,2023-09-05,Female,Bandung,54
USR00505,2022-09-25,Male,Makassar,58
USR00506,2023-07-31,Male,Makassar,17
USR00507,2023-02-21,Female,Bandung,35
USR00508,2022-06-17,Male,Bandung,19
USR00509,2022-02-12,Female,Medan,56
USR00510,2023-07-10,Male,Makassar,64
USR00511,2022-10-12,Male,Bandung,54
USR00512,2023-02-01,Female,Yogyakarta,30
USR00513,2022-01-12,Female,Medan,49
USR00514,2023-08-30,Male,Surabaya,60
USR00515,2022-10-29,Female,Makassar,16
USR00516,2022-09-10,Female,Makassar,25
USR00517,2023-05-14,Female,Bandung,21
USR00518,2022-02-04,Male,Bandung,18
USR00519,2023-12-28,Male,Bandung,52
USR00520,2022-03-31,Male,Yogyakarta,54
USR00521,2023-08-28,Male,Bandung,22
USR00522,2023-08-25,Male,Jakarta,42
USR00523,2023-02-22,Male,Bandung,49
USR00524,2022-04-25,Female,Surabaya,24
USR00525,2023-09-09,Female,Bandung,18
USR00526,2022-07-15,Male,Bandung,60
USR00527,2023-05-16,Female,Surabaya,49
USR00528,2023-09-18,Female,Yogyakarta,43
USR00529,2023-05-08,Male,Medan,27
USR00530,2022-03-16,Female,Surabaya,31
USR00531,2023-02-17,Male,Makassar,33
USR00532,2023-01-11,Female,Surabaya,24
USR00533,2023-02-24,Male,Makassar,41
USR00534,2023-12-30,Male,Jakarta,25
USR00535,2022-10-04,Male,Surabaya,29
USR00536,2023-11-07,Female,Medan,18
USR00537,2023-01-29,Female,Jakarta,33
USR00538,2023-04-02,Male,Bandung,38
USR00539,2022-07-11,Male,Medan,55
USR00540,2023-11-20,Female,Surabaya,43
USR00541,2022-04-09,Female,Surabaya,18
USR00542,2023-07-02,Female,Medan,19
USR00543,2022-04-06,nan,Bandung,42
USR00544,2023-10-26,Male,Bandung,19
USR00545,2023-10-25,Male,Jakarta,46
USR00546,2022-07-09,Female,Medan,52
USR00547,2022-02-06,Male,Makassar,55
USR00548,2023-01-04,Male,Medan,38
USR00549,2023-11-26,Male,Bandung,27
USR00550,2023-06-09,Male,Yogyakarta,41
USR00551,2022-10-06,Male,Bandung,56
USR00552,2022-08-05,nan,Jakarta,32
USR00553,2022-09-30,Male,Medan,52
USR00554,2022-03-03,Male,Surabaya,44
USR00555,2023-08-19,Male,Makassar,47
USR00556,2023-12-30,Female,Medan,60
USR00557,2022-12-08,Female,Yogyakarta,56
USR00558,2023-02-01,Male,Makassar,47
USR00559,2023-11-30,Male,Medan,63
USR00560,2022-01-19,Female,Bandung,32
USR00561,2022-06-26,Male,Yogyakarta,35
USR00562,2023-09-04,nan,Makassar,59
USR00563,2023-01-31,Female,Medan,59
USR00564,2023-03-21,Male,Surabaya,32
USR00565,2022-08-21,Female,Yogyakarta,46
USR00566,2022-03-17,Male,Bandung,52
USR00567,2022-09-22,Male,Surabaya,47
USR00568,2023-03-31,Male,Jakarta,30
USR00569,2023-12-19,Female,Jakarta,23
USR00570,2023-01-19,Male,Jakarta,55
USR00571,2023-07-18,Male,Bandung,42
USR00572,2023-05-21,Male,Surabaya,41
USR00573,2023-01-02,Female,Medan,25
USR00574,2022-05-24,Male,Bandung,46
USR00575,2022-03-10,Male,Medan,43
USR00576,2022-04-09,Female,Bandung,22
USR00577,2023-01-31,Female,Makassar,20
USR00578,2022-01-25,Female,Yogyakarta,56
USR00579,2023-04-14,Male,Yogyakarta,17
USR00580,2023-04-29,Female,Jakarta,53
USR00581,2023-07-19,Female,Jakarta,58
USR00582,2022-05-31,Male,Makassar,21
USR00583,2022-05-24,Female,Surabaya,21
USR00584,2023-07-23,Female,Jakarta,17
USR00585,2022-02-08,Female,Jakarta,22
USR00586,2022-04-19,nan,Surabaya,40
USR00587,2023-11-24,Female,Surabaya,45
USR00588,2022-02-11,Male,Makassar,41
USR00589,2022-07-05,Female,Jakarta,62
USR00590,2023-02-02,Male,Makassar,52
USR00591,2022-08-11,Female,Bandung,15
USR00592,2023-09-26,Male,Surabaya,47
USR00593,2022-05-13,Male,Yogyakarta,31
USR00594,2022-06-12,Female,Surabaya,46
USR00595,2022-08-03,Male,Jakarta,55
USR00596,2022-08-23,Female,Yogyakarta,55
USR00597,2023-10-20,Female,Medan,51
USR00598,2023-08-11,Male,Makassar,35
USR00599,2022-01-09,Female,Surabaya,35
USR00600,2022-03-15,Female,Surabaya,42
USR00601,2023-05-07,Female,Jakarta,20
USR00602,2022-09-10,Female,Jakarta,50
USR00603,2022-08-18,Male,Medan,19
USR00604,2023-06-03,Male,Bandung,54
USR00605,2022-06-23,Male,Bandung,49
USR00606,2023-10-15,Male,Jakarta,48
USR00607,2022-06-17,Female,Medan,23
USR00608,2022-06-19,Male,Jakarta,49
USR00609,2023-01-28,nan,Bandung,24
USR00610,2023-09-26,Female,Makassar,43
USR00611,2022-07-13,Male,Surabaya,62
USR00612,2023-06-01,Male,Surabaya,28
USR00613,2022-01-29,Female,Medan,20
USR00614,2022-06-14,Female,Bandung,36
USR00615,2023-02-26,nan,Yogyakarta,30
USR00616,2022-12-05,Male,Medan,33
USR00617,2023-10-10,Male,Medan,55
USR00618,2023-05-11,nan,Medan,25
