order_id,courier_name,dispatch_date,delivery_date
ORD000097,SiCepat,2023-08-08,2023-08-14
ORD000098,GoTo Logistics,2024-01-13,2024-01-19
ORD000099,JNE,2022-07-13,2022-07-14
ORD000100,GoTo Logistics,2022-07-28,2022-08-03
ORD000101,JNE,2024-01-21,2024-01-26
ORD000102,SiCepat,2022-03-19,2022-03-22
ORD000103,GoTo Logistics,2024-02-15,2024-02-21
ORD000104,SiCepat,2022-12-07,2022-12-09
ORD000105,SiCepat,2023-02-19,2023-02-22
ORD000106,GoTo Logistics,2024-07-04,2024-07-06
ORD000107,JNE,2023-01-27,2023-02-01
ORD000108,JNE,2022-09-17,2022-09-18
ORD000109,AnterAja,2024-08-29,2024-09-04
ORD000110,SiCepat,2024-01-14,2024-01-17
ORD000111,GoTo Logistics,2023-01-17,2023-01-20
ORD000112,GoTo Logistics,2022-12-12,2022-12-11
ORD000113,AnterAja,2023-06-23,2023-06-29
ORD000114,SiCepat,2023-06-06,2023-06-12
ORD000115,GoTo Logistics,2024-03-18,2024-03-20
ORD000116,JNE,2023-07-03,2023-07-04
ORD000117,SiCepat,2024-05-07,2024-05-11
ORD000118,GoTo Logistics,2024-01-13,2024-01-18
ORD000119,GoTo Logistics,2023-10-26,2023-10-28
ORD000120,GoTo Logistics,2023-10-18,2023-10-20
ORD000121,GoTo Logistics,2022-12-21,2022-12-25
ORD000122,GoTo Logistics,2023-06-25,2023-06-29
ORD000123,SiCepat,2023-05-18,2023-05-24
ORD000124,GoTo Logistics,2023-11-26,2023-11-29
ORD000125,SiCepat,2022-12-14,2022-12-19
ORD000126,GoTo Logistics,2023-03-25,2023-03-30
ORD000127,JNE,2023-02-22,2023-02-26
ORD000128,JNE,2023-06-03,2023-06-04
ORD000129,SiCepat,2023-09-18,2023-09-22
ORD000130,SiCepat,2022-08-26,2022-08-30
ORD000131,GoTo Logistics,2023-06-30,2023-07-05
ORD000132,GoTo Logistics,2023-09-11,2023-09-16
ORD000133,GoTo Logistics,2024-10-05,2024-10-11
ORD000134,SiCepat,2022-11-07,2022-11-06
ORD000135,SiCepat,2024-04-16,2024-04-20
ORD000136,JNE,2023-06-27,2023-06-30
ORD000137,nan,2022-08-06,2022-08-07
ORD000138,GoTo Logistics,2023-06-15,2023-06-19
ORD000139,GoTo Logistics,2024-07-18,2024-07-23
ORD000140,GoTo Logistics,2023-07-16,2023-07-22
ORD000141,GoTo Logistics,2023-03-25,2023-03-29
ORD000142,JNE,2021-12-10,2021-12-13
ORD000143,nan,2023-08-28,2023-09-02
ORD000144,SiCepat,2022-06-13,2022-06-19
ORD000145,GoTo Logistics,2022-11-14,2022-11-20
ORD000146,GoTo Logistics,2022-08-28,2022-09-01
ORD000147,GoTo Logistics,2023-08-22,2023-08-26
ORD000148,GoTo Logistics,2023-05-11,2023-05-12
ORD000149,GoTo Logistics,2023-02-04,2023-02-09
ORD000150,JNE,2023-04-01,2023-04-05
ORD000151,GoTo Logistics,2023-03-21,2023-03-23
ORD000152,GoTo Logistics,2023-12-04,2023-12-07
ORD000153,SiCepat,2023-09-17,2023-09-21
ORD000154,GoTo Logistics,2023-08-23,2023-08-29
ORD000155,GoTo Logistics,2023-03-18,2023-03-21
ORD000156,nan,2023-05-18,2023-05-24
ORD000157,GoTo Logistics,2022-12-30,2023-01-01
ORD000158,SiCepat,2023-02-07,2023-02-12
ORD000159,GoTo Logistics,2023-02-11,2023-02-13
ORD000160,AnterAja,2022-11-02,2022-11-03
ORD000161,JNE,2022-10-24,2022-10-26
ORD000162,SiCepat,2023-05-03,2023-05-05
ORD000163,AnterAja,2023-03-08,2023-03-10
ORD000164,JNE,2024-01-01,2024-01-05
ORD000165,GoTo Logistics,2022-10-26,2022-10-27
ORD000166,SiCepat,2024-02-16,2024-02-20
ORD000167,AnterAja,2024-06-20,2024-06-22
ORD000168,nan,2023-12-03,2023-12-05
ORD000169,SiCepat,2024-03-23,2024-03-24
ORD000170,GoTo Logistics,2022-06-04,2022-06-06
ORD000171,GoTo Logistics,2024-03-31,2024-04-05
ORD000172,GoTo Logistics,2023-06-07,2023-06-10
ORD000173,SiCepat,2023-06-04,2023-06-08
ORD000174,JNE,2023-11-18,2023-11-21
ORD000175,GoTo Logistics,2024-06-17,2024-06-18
ORD000176,SiCepat,2022-04-06,2022-04-11
ORD000177,JNE,2023-03-13,2023-03-19
ORD000178,AnterAja,2024-03-04,2024-03-07
ORD000179,GoTo Logistics,2022-12-15,2022-12-18
ORD000180,JNE,2023-12-21,2023-12-27
ORD000181,SiCepat,2022-11-20,2022-11-22
ORD000182,JNE,2023-09-02,2023-09-07
ORD000183,JNE,2024-10-29,2024-11-01
ORD000184,GoTo Logistics,2023-09-23,2023-09-25
ORD000185,SiCepat,2023-03-25,2023-03-30
ORD000186,JNE,2022-08-18,2022-08-23
ORD000187,GoTo Logistics,2022-08-20,2022-08-22
ORD000188,SiCepat,2023-12-28,2024-01-01
ORD000189,JNE,2022-10-30,2022-10-31
ORD000190,GoTo Logistics,2023-12-22,2023-12-27
ORD000191,GoTo Logistics,2024-05-09,2024-05-11
ORD000192,AnterAja,2023-10-07,2023-10-12
ORD000193,SiCepat,2022-07-30,2022-08-01
ORD000194,AnterAja,2022-06-07,2022-06-11
ORD000195,GoTo Logistics,2023-02-10,2023-02-16
ORD000196,JNE,2022-09-05,2022-09-06
ORD000197,GoTo Logistics,2023-12-23,2023-12-26
ORD000198,SiCepat,2024-02-09,2024-02-12
ORD000199,JNE,2024-03-15,2024-03-17
ORD000200,SiCepat,2023-07-17,2023-07-19
ORD000201,JNE,2022-08-21,2022-08-22
ORD000202,GoTo Logistics,2022-03-23,2022-03-24
ORD000203,GoTo Logistics,2024-01-12,2024-01-16
ORD000204,SiCepat,2023-10-12,2023-10-15
ORD000205,GoTo Logistics,2023-03-17,2023-03-19
ORD000206,GoTo Logistics,2023-03-03,2023-03-05
ORD000207,SiCepat,2024-02-12,2024-02-13
ORD000208,GoTo Logistics,2023-01-22,2023-01-25
ORD000209,SiCepat,2024-04-05,2024-04-07
ORD000210,AnterAja,2023-08-17,2023-08-20
ORD000211,nan,2023-04-01,2023-04-07
ORD000212,SiCepat,2024-02-25,2024-03-01
ORD000213,SiCepat,2022-12-25,2022-12-26
ORD000214,nan,2023-05-12,2023-05-15
ORD000215,SiCepat,2024-09-23,2024-09-28
ORD000216,GoTo Logistics,2023-07-04,2023-07-05
ORD000217,JNE,2022-05-26,2022-05-28
ORD000218,JNE,2023-11-19,2023-11-20
ORD000219,GoTo Logistics,2022-01-26,2022-01-31
ORD000220,GoTo Logistics,2023-08-18,2023-08-24
ORD000221,SiCepat,2023-05-24,2023-05-26
ORD000222,JNE,2024-04-05,2024-04-11
ORD000223,SiCepat,2023-01-28,2023-01-24
ORD000224,GoTo Logistics,2022-09-09,2022-09-13
ORD000225,GoTo Logistics,2024-05-01,2024-05-04
ORD000226,GoTo Logistics,2022-08-26,2022-08-27
ORD000227,JNE,2022-10-12,2022-10-14
ORD000228,GoTo Logistics,2023-04-22,2023-04-28
ORD000229,SiCepat,2024-04-08,2024-04-11
ORD000230,GoTo Logistics,2022-09-19,2022-09-20
ORD000231,GoTo Logistics,2023-01-29,2023-02-03
ORD000232,JNE,2024-05-24,2024-05-27
ORD000233,nan,2022-09-05,2022-09-01
ORD000234,JNE,2023-11-06,2023-11-11
ORD000235,GoTo Logistics,2022-10-08,2022-10-14
ORD000236,GoTo Logistics,2022-11-14,2022-11-20
ORD000237,JNE,2023-04-15,2023-04-17
ORD000238,SiCepat,2023-01-01,2023-01-04
ORD000239,SiCepat,2023-06-28,2023-07-03
ORD000240,AnterAja,2022-05-24,2022-05-29
ORD000241,GoTo Logistics,2023-02-26,2023-02-27
ORD000242,nan,2023-05-01,2023-05-03
ORD000243,SiCepat,2023-05-12,2023-05-15
ORD000244,GoTo Logistics,2022-07-28,2022-07-30
ORD000245,GoTo Logistics,2024-08-18,2024-08-23
ORD000246,GoTo Logistics,2024-08-27,2024-08-30
ORD000247,SiCepat,2022-12-16,2022-12-17
ORD000248,SiCepat,2023-03-27,2023-03-31
ORD000249,SiCepat,2022-03-12,2022-03-18
ORD000250,JNE,2023-01-20,2023-01-24
ORD000251,GoTo Logistics,2024-10-23,2024-10-25
ORD000252,SiCepat,2023-10-26,2023-10-30
ORD000253,SiCepat,2022-05-01,2022-05-05
ORD000254,GoTo Logistics,2023-08-16,2023-08-17
ORD000255,GoTo Logistics,2022-06-25,2022-06-27
ORD000256,GoTo Logistics,2023-09-25,2023-10-01
ORD000257,JNE,2022-11-05,2022-11-06
ORD000258,GoTo Logistics,2022-09-13,2022-09-19
ORD000259,GoTo Logistics,2023-06-27,2023-07-02
ORD000260,JNE,2023-11-19,2023-11-22
ORD000261,AnterAja,2023-12-27,2023-12-28
ORD000262,SiCepat,2024-04-12,2024-04-17
ORD000263,SiCepat,2022-10-05,2022-10-06
ORD000264,SiCepat,2024-03-05,2024-03-07
ORD000265,JNE,2024-03-10,2024-03-15
ORD000266,SiCepat,2023-02-08,2023-02-12
ORD000267,SiCepat,2024-02-06,2024-02-12
ORD000268,SiCepat,2022-10-28,2022-10-30
ORD000269,GoTo Logistics,2023-03-12,2023-03-15
ORD000270,GoTo Logistics,2022-12-22,2022-12-25
ORD000271,SiCepat,2023-06-30,2023-07-05
ORD000272,GoTo Logistics,2023-05-16,2023-05-22
ORD000273,SiCepat,2022-09-21,2022-09-24
ORD000274,AnterAja,2023-12-27,2023-12-28
ORD000275,SiCepat,2022-01-31,2022-01-28
ORD000276,JNE,2024-01-02,2024-01-05
ORD000277,JNE,2024-05-15,2024-05-21
ORD000278,SiCepat,2023-06-13,2023-06-15
ORD000279,AnterAja,2024-02-04,2024-02-09
ORD000280,JNE,2023-11-18,2023-11-22
ORD000281,SiCepat,2023-08-29,2023-09-04
ORD000282,nan,2023-09-29,2023-10-04
ORD000283,JNE,2023-12-15,2023-12-20
ORD000284,nan,2023-05-24,2023-05-29
ORD000285,GoTo Logistics,2024-09-24,2024-09-30
ORD000286,GoTo Logistics,2024-02-22,2024-02-26
ORD000287,GoTo Logistics,2023-07-04,2023-07-09
ORD000288,JNE,2022-12-21,2022-12-26
ORD000289,JNE,2022-09-09,2022-09-13
ORD000290,SiCepat,2023-11-22,2023-11-23
ORD000291,JNE,2023-09-17,2023-09-23
ORD000292,AnterAja,2023-11-25,2023-11-28
ORD000293,GoTo Logistics,2023-08-02,2023-08-05
ORD000294,GoTo Logistics,2023-05-01,2023-05-03
ORD000295,SiCepat,2024-06-11,2024-06-12
ORD000296,SiCepat,2023-08-10,2023-08-12
ORD000297,JNE,2023-09-25,2023-09-30
ORD000298,GoTo Logistics,2024-03-03,2024-03-04
ORD000299,GoTo Logistics,2022-10-21,2022-10-26
ORD000300,GoTo Logistics,2023-11-03,2023-11-08
ORD000301,JNE,2022-10-20,2022-10-26
ORD000302,JNE,2023-10-14,2023-10-17
ORD000303,GoTo Logistics,2022-07-13,2022-07-16
ORD000304,SiCepat,2022-11-28,2022-12-03
ORD000305,SiCepat,2022-08-27,2022-08-29
ORD000306,JNE,2024-01-31,2024-01-29
ORD000307,SiCepat,2022-11-28,2022-12-01
ORD000308,nan,2023-05-14,2023-05-18
ORD000309,JNE,2022-02-22,2022-02-25
ORD000310,GoTo Logistics,2023-02-18,2023-02-20
ORD000311,GoTo Logistics,2022-06-12,2022-06-16
ORD000312,JNE,2023-03-20,2023-03-25
ORD000313,SiCepat,2023-10-13,2023-10-16
ORD000314,JNE,2024-02-10,2024-02-11
ORD000315,JNE,2023-11-11,2023-11-15
ORD000316,JNE,2024-02-01,2024-02-07
ORD000317,JNE,2023-02-20,2023-02-23
ORD000318,AnterAja,2022-05-20,2022-05-26
ORD000319,GoTo Logistics,2023-06-18,2023-06-24
ORD000320,SiCepat,2023-10-20,2023-10-26
ORD000321,nan,2022-10-15,2022-10-21
ORD000322,GoTo Logistics,2022-10-22,2022-10-24
ORD000323,AnterAja,2023-10-09,2023-10-15
ORD000324,nan,2024-06-17,2024-06-19
ORD000325,GoTo Logistics,2022-12-15,2022-12-16
ORD000326,GoTo Logistics,2023-10-14,2023-10-20
ORD000327,nan,2024-07-14,2024-07-19
ORD000328,JNE,2023-02-18,2023-02-21
ORD000329,GoTo Logistics,2023-04-10,2023-04-15
ORD000330,JNE,2023-12-31,2024-01-04
ORD000331,JNE,2023-12-29,2024-01-01
ORD000332,AnterAja,2023-05-08,2023-05-11
ORD000333,SiCepat,2023-11-02,2023-11-05
ORD000334,JNE,2023-08-22,2023-08-28
ORD000335,GoTo Logistics,2022-08-07,2022-08-08
ORD000336,SiCepat,2023-10-31,2023-11-06
ORD000337,SiCepat,2023-11-02,2023-11-03
ORD000338,JNE,2024-11-18,2024-11-24
ORD000339,SiCepat,2022-10-05,2022-10-08
ORD000340,SiCepat,2022-08-07,2022-08-10
ORD000341,JNE,2024-06-28,2024-07-04
ORD000342,JNE,2024-07-15,2024-07-17
ORD000343,nan,2024-03-22,2024-03-24
ORD000344,JNE,2024-02-20,2024-02-25
ORD000345,GoTo Logistics,2023-04-20,2023-04-23
ORD000346,JNE,2023-11-04,2023-11-06
ORD000347,GoTo Logistics,2023-08-06,2023-08-08
ORD000348,GoTo Logistics,2022-07-29,2022-07-28
ORD000349,SiCepat,2023-11-13,2023-11-14
ORD000350,SiCepat,2024-07-07,2024-07-11
ORD000351,GoTo Logistics,2023-01-06,2023-01-12
ORD000352,JNE,2023-05-22,2023-05-28
ORD000353,GoTo Logistics,2023-06-12,2023-06-14
ORD000354,SiCepat,2023-10-17,2023-10-23
ORD000355,GoTo Logistics,2024-01-05,2024-01-07
ORD000356,GoTo Logistics,2023-04-14,2023-04-19
ORD000357,SiCepat,2022-08-15,2022-08-20
ORD000358,nan,2022-09-14,2022-09-17
ORD000359,GoTo Logistics,2023-09-15,2023-09-19
ORD000360,GoTo Logistics,2024-01-13,2024-01-16
ORD000361,GoTo Logistics,2023-12-01,2023-12-07
ORD000362,JNE,2024-02-15,2024-02-18
ORD000363,GoTo Logistics,2023-02-22,2023-02-26
ORD000364,GoTo Logistics,2023-03-20,2023-03-21
ORD000365,nan,2023-06-11,2023-06-14
ORD000366,JNE,2024-03-15,2024-03-18
ORD000367,SiCepat,2022-07-19,2022-07-22
ORD000368,JNE,2024-07-24,2024-07-28
ORD000369,GoTo Logistics,2024-01-02,2024-01-04
ORD000370,SiCepat,2023-01-28,2023-01-30
ORD000371,JNE,2022-09-12,2022-09-16
ORD000372,JNE,2023-12-29,2024-01-03
ORD000373,JNE,2023-07-09,2023-07-15
ORD000374,SiCepat,2023-04-26,2023-04-29
ORD000375,JNE,2023-01-18,2023-01-24
ORD000376,AnterAja,2023-09-05,2023-09-09
ORD000377,GoTo Logistics,2023-05-08,2023-05-11
ORD000378,nan,2023-11-15,2023-11-19
ORD000379,GoTo Logistics,2024-02-25,2024-03-01
ORD000380,GoTo Logistics,2023-04-30,2023-05-01
ORD000381,GoTo Logistics,2023-06-15,2023-06-20
ORD000382,JNE,2023-02-22,2023-02-25
ORD000383,AnterAja,2024-03-26,2024-03-31
ORD000384,JNE,2023-07-21,2023-07-17
ORD000385,SiCepat,2023-07-11,2023-07-14
ORD000386,nan,2024-04-28,2024-05-02
ORD000387,nan,2022-09-16,2022-09-22
ORD000388,JNE,2023-06-11,2023-06-16
ORD000389,AnterAja,2022-09-15,2022-09-19
ORD000390,GoTo Logistics,2022-11-14,2022-11-18
ORD000391,AnterAja,2024-06-28,2024-06-30
ORD000392,AnterAja,2022-10-18,2022-10-24
ORD000393,GoTo Logistics,2023-02-23,2023-02-24
ORD000394,SiCepat,2022-09-22,2022-09-25
ORD000395,GoTo Logistics,2023-07-21,2023-07-26
ORD000396,SiCepat,2023-12-06,2023-12-12
ORD000397,GoTo Logistics,2023-11-30,2023-12-05
ORD000398,SiCepat,2023-02-10,2023-02-16
ORD000399,SiCepat,2022-08-27,2022-09-02
ORD000400,SiCepat,2023-05-05,2023-05-07
ORD000401,JNE,2024-07-08,2024-07-14
ORD000402,SiCepat,2024-09-04,2024-08-31
ORD000403,SiCepat,2022-10-26,2022-10-27
ORD000404,AnterAja,2022-11-20,2022-11-24
ORD000405,JNE,2023-11-21,2023-11-22
ORD000406,GoTo Logistics,2022-08-03,2022-08-05
ORD000407,GoTo Logistics,2023-06-19,2023-06-24
ORD000408,AnterAja,2023-07-14,2023-07-15
ORD000409,GoTo Logistics,2023-07-01,2023-07-02
ORD000410,nan,2022-09-23,2022-09-26
ORD000411,JNE,2024-08-25,2024-08-30
ORD000412,GoTo Logistics,2023-01-25,2023-01-29
ORD000413,SiCepat,2024-07-18,2024-07-20
ORD000414,SiCepat,2023-07-16,2023-07-18
ORD000415,GoTo Logistics,2023-07-23,2023-07-28
ORD000416,SiCepat,2023-07-11,2023-07-12
ORD000417,GoTo Logistics,2023-12-04,2023-12-07
ORD000418,GoTo Logistics,2023-09-22,2023-09-25
ORD000419,JNE,2022-05-22,2022-05-27
ORD000420,GoTo Logistics,2022-10-27,2022-10-25
ORD000421,JNE,2022-05-02,2022-05-04
ORD000422,AnterAja,2022-05-24,2022-05-29
ORD000423,GoTo Logistics,2023-07-22,2023-07-24
ORD000424,GoTo Logistics,2024-05-14,2024-05-10
ORD000425,SiCepat,2024-07-08,2024-07-14
ORD000426,AnterAja,2022-11-20,2022-11-26
ORD000427,SiCepat,2024-03-29,2024-04-03
ORD000428,GoTo Logistics,2023-02-10,2023-02-14
ORD000429,JNE,2023-01-24,2023-01-28
ORD000430,AnterAja,2024-01-18,2024-01-23
ORD000431,AnterAja,2024-01-04,2024-01-07
ORD000432,JNE,2022-05-15,2022-05-19
ORD000433,GoTo Logistics,2024-04-15,2024-04-21
ORD000434,SiCepat,2022-08-09,2022-08-10
ORD000435,SiCepat,2022-11-11,2022-11-13
ORD000436,GoTo Logistics,2022-10-26,2022-11-01
ORD000437,AnterAja,2023-08-20,2023-08-26
ORD000438,AnterAja,2023-05-25,2023-05-27
ORD000439,JNE,2023-06-18,2023-06-22
ORD000440,AnterAja,2024-01-31,2024-02-03
ORD000441,GoTo Logistics,2022-06-26,2022-07-01
ORD000442,SiCepat,2022-03-03,2022-03-04
ORD000443,SiCepat,2024-05-23,2024-05-24
ORD000444,JNE,2022-05-09,2022-05-12
ORD000445,nan,2022-10-21,2022-10-24
ORD000446,JNE,2023-06-15,2023-06-18
ORD000447,GoTo Logistics,2023-02-14,2023-02-17
ORD000448,GoTo Logistics,2023-08-15,2023-08-17
ORD000449,SiCepat,2024-02-19,2024-02-23
ORD000450,GoTo Logistics,2022-03-09,2022-03-11
ORD000451,GoTo Logistics,2022-08-28,2022-08-29
ORD000452,GoTo Logistics,2023-12-02,2023-12-03
ORD000453,SiCepat,2023-01-20,2023-01-24
ORD000454,AnterAja,2023-12-18,2023-12-21
ORD000455,GoTo Logistics,2024-09-26,2024-09-22
ORD000456,AnterAja,2023-08-10,2023-08-14
ORD000457,GoTo Logistics,2023-11-26,2023-11-29
ORD000458,JNE,2023-01-03,2023-01-08
ORD000459,AnterAja,2023-03-21,2023-03-27
ORD000460,JNE,2024-06-07,2024-06-11
ORD000461,nan,2022-09-06,2022-09-09
ORD000462,AnterAja,2022-09-23,2022-09-24
ORD000463,JNE,2023-11-29,2023-11-30
ORD000464,GoTo Logistics,2023-10-16,2023-10-22
ORD000465,GoTo Logistics,2024-07-31,2024-08-02
ORD000466,AnterAja,2024-05-28,2024-05-31
ORD000467,GoTo Logistics,2024-02-28,2024-03-03
ORD000468,GoTo Logistics,2023-06-28,2023-07-04
ORD000469,GoTo Logistics,2022-12-27,2023-01-01
ORD000470,nan,2021-12-13,2021-12-18
ORD000471,GoTo Logistics,2024-04-11,2024-04-15
ORD000472,GoTo Logistics,2023-07-17,2023-07-22
ORD000473,GoTo Logistics,2024-09-17,2024-09-20
ORD000474,SiCepat,2024-02-04,2024-02-07
ORD000475,JNE,2023-08-13,2023-08-09
ORD000476,JNE,2023-08-06,2023-08-11
ORD000477,AnterAja,2023-08-05,2023-08-06
ORD000478,SiCepat,2022-10-04,2022-10-05
ORD000479,GoTo Logistics,2023-12-21,2023-12-24
ORD000480,SiCepat,2023-12-30,2024-01-05
ORD000481,GoTo Logistics,2024-02-28,2024-02-29
ORD000482,nan,2024-02-09,2024-02-10
ORD000483,GoTo Logistics,2022-07-09,2022-07-12
ORD000484,JNE,2024-04-09,2024-04-14
ORD000485,JNE,2023-10-23,2023-10-19
ORD000486,JNE,2022-11-29,2022-11-30
ORD000487,GoTo Logistics,2022-09-08,2022-09-10
ORD000488,GoTo Logistics,2024-05-18,2024-05-24
ORD000489,AnterAja,2024-02-29,2024-03-02
ORD000490,AnterAja,2023-05-25,2023-05-29
ORD000491,JNE,2024-04-28,2024-05-03
ORD000492,GoTo Logistics,2022-10-31,2022-11-04
ORD000493,GoTo Logistics,2024-09-17,2024-09-22
ORD000494,GoTo Logistics,2023-02-19,2023-02-22
ORD000495,JNE,2023-08-18,2023-08-21
ORD000496,SiCepat,2023-02-18,2023-02-19
ORD000497,JNE,2023-07-17,2023-07-18
ORD000498,nan,2023-04-20,2023-04-22
ORD000499,SiCepat,2022-11-07,2022-11-11
ORD000500,SiCepat,2023-01-16,2023-01-17
ORD000501,SiCepat,2022-08-23,2022-08-26
ORD000502,GoTo Logistics,2023-03-08,2023-03-12
ORD000503,GoTo Logistics,2024-10-18,2024-10-22
ORD000504,SiCepat,2023-05-09,2023-05-11
ORD000505,GoTo Logistics,2023-06-06,2023-06-11
ORD000506,SiCepat,2023-10-17,2023-10-21
ORD000507,JNE,2022-05-07,2022-05-11
ORD000508,GoTo Logistics,2022-06-22,2022-06-26
ORD000509,JNE,2022-06-19,2022-06-24
ORD000510,GoTo Logistics,2024-01-11,2024-01-17
ORD000511,GoTo Logistics,2022-09-13,2022-09-16
ORD000512,SiCepat,2022-10-14,2022-10-20
ORD000513,GoTo Logistics,2023-06-04,2023-06-06
ORD000514,AnterAja,2023-11-29,2023-12-02
ORD000515,GoTo Logistics,2024-03-04,2024-03-06
ORD000516,SiCepat,2023-10-16,2023-10-21
ORD000517,GoTo Logistics,2022-06-06,2022-06-08
ORD000518,GoTo Logistics,2023-07-30,2023-08-02
ORD000519,GoTo Logistics,2024-05-23,2024-05-29
ORD000520,GoTo Logistics,2023-08-04,2023-08-09
ORD000521,SiCepat,2024-10-16,2024-10-18
ORD000522,GoTo Logistics,2023-08-02,2023-08-03
ORD000523,nan,2024-02-29,2024-03-03
ORD000524,JNE,2022-10-15,2022-10-17
ORD000525,GoTo Logistics,2024-03-01,2024-03-07
ORD000526,GoTo Logistics,2024-02-10,2024-02-15
ORD000527,GoTo Logistics,2023-10-29,2023-10-30
