order_id,user_id,order_date,payment_method,promo_amount,total_amount
ORD000326,USR41238,2023-10-14,OVO,10000,768169
ORD000327,USR23238,2024-07-14,Mandiri VA,0,1153219
ORD000328,USR35735,2023-02-18,GO-PAY,0,1177786
ORD000329,USR31102,2023-04-10,gopay,10000,450779
ORD000330,USR16127,2023-12-31,Mandiri VA,0,1555170
ORD000331,USR23954,2023-12-29,OVO,0,1778084
ORD000332,USR19502,2023-05-07,ovo,0,814780
ORD000333,USR26663,2023-11-02,GO-PAY,10000,1195696
ORD000334,USR40082,2023-08-20,COD,20000,84844
ORD000335,USR09438,2022-08-05,OVO,10000,667392
ORD000336,USR07841,2023-10-31,GoPay,0,1060015
ORD000337,USR06982,2023-11-01,GO-PAY,10000,1984743
ORD000338,USR43987,2024-11-16,Mandiri VA,10000,167905
ORD000339,USR45996,2022-10-05,BCA Virtual Account,50000,215585
ORD000340,USR04932,2022-08-06,GoPay,0,148649
ORD000341,USR07845,2024-06-28,BCA Virtual Account,0,1074042
ORD000342,USR06257,2024-07-15,COD,0,1463986
ORD000343,USR30599,2024-03-22,GoPay,0,1209128
ORD000344,USR39009,2024-02-19,ovo,0,700175
ORD000345,USR22886,2023-04-19,GoPay,10000,1938063
ORD000346,USR09378,2023-11-03,Mandiri VA,0,1679928
ORD000347,USR19885,2023-08-04,Mandiri VA,0,1339163
ORD000348,USR03658,2022-07-28,gopay,0,429846
ORD000349,USR26943,2023-11-11,gopay,0,254433
ORD000350,USR41038,2024-07-06,BCA Virtual Account,0,1918397
ORD000351,USR27125,2023-01-04,OVO,0,829378
ORD000352,USR27470,2023-05-20,GoPay,0,1475816
ORD000353,USR19708,2023-06-10,bca va,0,54055
ORD000354,USR39372,2023-10-15,COD,50000,1526846
ORD000355,USR25993,2024-01-03,COD,10000,507354
ORD000356,USR42192,2023-04-14,COD,0,1776553
ORD000357,USR47813,2022-08-15,GoPay,10000,1890221
ORD000358,USR19367,2022-09-13,ovo,0,727650
ORD000359,USR09720,2023-09-15,COD,0,1113840
ORD000360,USR15900,2024-01-13,gopay,50000,1969059
ORD000361,USR04904,2023-11-29,gopay,0,1752525
ORD000362,USR14010,2024-02-14,OVO,0,1784092
ORD000363,USR27560,2023-02-20,GoPay,20000,1938349
ORD000364,USR26759,2023-03-20,Mandiri VA,0,609311
ORD000365,USR33187,2023-06-09,COD,0,1164047
ORD000366,USR32160,2024-03-14,GoPay,10000,1874928
ORD000367,USR16432,2022-07-18,ovo,0,564529
ORD000368,USR22903,2024-07-24,COD,0,1576130
ORD000369,USR24379,2024-01-02,gopay,0,399106
ORD000370,USR36110,2023-01-28,GO-PAY,0,910602
ORD000371,USR19281,2022-09-10,gopay,0,1067663
ORD000372,USR28159,2023-12-29,COD,0,705233
ORD000373,USR17376,2023-07-07,bca va,20000,507516
ORD000374,USR38328,2023-04-26,COD,0,454106
ORD000375,USR25473,2023-01-18,bca va,0,1766731
ORD000376,USR12987,2023-09-05,gopay,0,69622
ORD000377,USR29363,2023-05-07,bca va,10000,801511
ORD000378,USR43950,2023-11-13,Mandiri VA,0,583826
ORD000379,USR35842,2024-02-23,gopay,0,999999999
ORD000380,USR02211,2023-04-28,BCA Virtual Account,0,1523363
ORD000381,USR47965,2023-06-13,COD,0,380565
ORD000382,USR23387,2023-02-22,OVO,0,241838
ORD000383,USR26150,2024-03-26,ovo,10000,1554116
ORD000384,USR39836,2023-07-21,GoPay,0,1914955
ORD000385,USR47770,2023-07-10,ovo,20000,848063
ORD000386,USR39111,2024-04-28,bca va,0,821766
ORD000387,USR25364,2022-09-16,gopay,20000,1622439
ORD000388,USR38123,2023-06-09,GO-PAY,0,841327
ORD000389,USR42164,2022-09-14,OVO,10000,704003
ORD000390,USR46609,2022-11-13,COD,0,1689771
ORD000391,USR00528,2024-06-26,ovo,0,1049620
ORD000392,USR00752,2022-10-16,GO-PAY,0,1664796
ORD000393,USR36143,2023-02-22,ovo,0,808659
ORD000394,USR45570,2022-09-21,bca va,0,65951
ORD000395,USR09171,2023-07-21,bca va,0,1475408
ORD000396,USR43423,2023-12-05,ovo,0,291816
ORD000397,USR36841,2023-11-28,OVO,20000,1018771
ORD000398,USR23161,2023-02-08,COD,20000,671419
ORD000399,USR42520,2022-08-27,gopay,10000,479346
ORD000400,USR23899,2023-05-04,OVO,20000,1941131
ORD000401,USR17113,2024-07-06,bca va,20000,763380
ORD000402,USR24132,2024-09-04,GO-PAY,20000,809344
ORD000403,USR36690,2022-10-26,COD,0,148544
ORD000404,USR21866,2022-11-18,gopay,20000,472358
ORD000405,USR28957,2023-11-21,BCA Virtual Account,10000,802700
ORD000406,USR34068,2022-08-02,gopay,0,1953740
ORD000407,USR26507,2023-06-17,gopay,10000,78387
ORD000408,USR32609,2023-07-12,COD,0,1336603
ORD000409,USR17579,2023-07-01,COD,10000,1473829
ORD000410,USR49854,2022-09-22,ovo,0,1905917
ORD000411,USR03200,2024-08-25,gopay,20000,999999999
ORD000412,USR07657,2023-01-24,gopay,50000,1730406
ORD000413,USR25689,2024-07-18,OVO,20000,1331418
ORD000414,USR28543,2023-07-16,GO-PAY,20000,1820370
ORD000415,USR30789,2023-07-21,gopay,50000,1975076
ORD000416,USR28689,2023-07-11,OVO,0,1375205
ORD000417,USR22141,2023-12-04,OVO,0,828027
ORD000418,USR29365,2023-09-21,ovo,20000,215395
ORD000419,USR06236,2022-05-20,OVO,0,368436
ORD000420,USR34387,2022-10-26,Mandiri VA,10000,204985
ORD000421,USR45025,2022-05-01,OVO,0,1375398
ORD000422,USR01553,2022-05-22,gopay,50000,998639
ORD000423,USR37134,2023-07-20,COD,10000,548294
ORD000424,USR28195,2024-05-14,bca va,0,1369758
ORD000425,USR31817,2024-07-08,ovo,0,165398
ORD000426,USR10712,2022-11-20,GO-PAY,10000,104255
ORD000427,USR37610,2024-03-27,OVO,0,1668881
ORD000428,USR35739,2023-02-10,GoPay,10000,1762246
ORD000429,USR07687,2023-01-24,COD,0,1660571
ORD000430,USR10706,2024-01-18,bca va,0,670637
ORD000431,USR41332,2024-01-04,BCA Virtual Account,0,1727360
ORD000432,USR13337,2022-05-14,ovo,0,1356464
ORD000433,USR45127,2024-04-15,BCA Virtual Account,20000,632819
ORD000434,USR05011,2022-08-09,OVO,0,693838
ORD000435,USR43364,2022-11-09,gopay,0,1575489
ORD000436,USR29945,2022-10-26,GoPay,0,911354
ORD000437,USR04234,2023-08-18,GO-PAY,0,434685
ORD000438,USR10429,2023-05-24,OVO,10000,1600481
ORD000439,USR36168,2023-06-18,BCA Virtual Account,0,-150000
ORD000440,USR14388,2024-01-30,gopay,0,931047
ORD000441,USR24503,2022-06-25,GoPay,20000,1495903
ORD000442,USR18876,2022-03-03,ovo,0,998412
ORD000443,USR48674,2024-05-21,COD,10000,1164372
ORD000444,USR41436,2022-05-08,GO-PAY,10000,1972429
ORD000445,USR26400,2022-10-21,Mandiri VA,0,774597
ORD000446,USR33952,2023-06-15,Mandiri VA,50000,301583
ORD000447,USR29394,2023-02-13,OVO,0,959269
ORD000448,USR25142,2023-08-13,COD,0,230172
ORD000449,USR30216,2024-02-19,COD,50000,650095
ORD000450,USR31572,2022-03-08,gopay,0,1093748
ORD000451,USR31950,2022-08-27,OVO,0,1544415
ORD000452,USR01813,2023-12-02,BCA Virtual Account,0,508071
ORD000453,USR07104,2023-01-19,GO-PAY,0,251877
ORD000454,USR42696,2023-12-18,GO-PAY,50000,1780339
ORD000455,USR20211,2024-09-26,bca va,0,1948923
ORD000456,USR21069,2023-08-09,bca va,10000,1820562
ORD000457,USR06938,2023-11-25,BCA Virtual Account,0,161985
ORD000458,USR38345,2023-01-03,bca va,10000,56054
ORD000459,USR29540,2023-03-20,gopay,50000,759020
ORD000460,USR16082,2024-06-05,ovo,0,496622
ORD000461,USR43935,2022-09-05,COD,10000,799771
ORD000462,USR03339,2022-09-22,bca va,0,999999999
ORD000463,USR08015,2023-11-27,GO-PAY,0,999999999
ORD000464,USR12476,2023-10-16,GO-PAY,10000,399055
ORD000465,USR44693,2024-07-30,Mandiri VA,20000,892008
ORD000466,USR42449,2024-05-28,BCA Virtual Account,0,52971
ORD000467,USR29188,2024-02-26,ovo,50000,447780
ORD000468,USR19009,2023-06-26,OVO,50000,1579985
ORD000469,USR45367,2022-12-25,ovo,0,1926740
ORD000470,USR10511,2021-12-13,gopay,0,1675219
ORD000471,USR48425,2024-04-09,gopay,0,1289612
ORD000472,USR36068,2023-07-17,BCA Virtual Account,0,418315
ORD000473,USR21181,2024-09-17,COD,0,56805
ORD000474,USR28336,2024-02-03,ovo,0,1588161
ORD000475,USR11373,2023-08-12,ovo,0,1180540
